Abstract,Search
" 25 26 27 INTRODUCTION: Epidemic forecasting and prediction tools have the potential to provide 28 actionable information in the midst of emerging epidemics. While numerous predictive studies 29 were published during the 2016-2017 Zika Virus (ZIKV) pandemic, it remains unknown how 30 timely, reproducible and actionable the information produced by these studies was. METHODS: 31 To improve the functional use of mathematical modeling in support of future infectious disease 32 outbreaks, we conducted a systematic review of all ZIKV prediction studies published during the 33 recent ZIKV pandemic using the PRISMA guidelines. Using MEDLINE, EMBASE and grey 34 literature review, we identified studies that forecasted, predicted or simulated ecological or 35 epidemiological phenomenon related to the Zika pandemic that were published as of March 01, 36 2017. Eligible studies underwent evaluation of objectives, data sources, methods, timeliness, 37 reproducibility, accessibility and clarity by independent reviewers. RESULTS: 2034 studies were 38 identified, of which n = 73 met eligibility criteria. Spatial spread, R 0 (basic reproductive number) 39 and epidemic dynamics were most commonly predicted, with few studies predicting Guillain-40 Barré Syndrome burden (4%), sexual transmission risk (4%) and intervention impact (4%). Most 41 studies specifically examined populations in the Americas (52%), with few African-specific 42 studies (4%). Case count (67%), vector (41%) and demographic data (37%) were the most 43 common data sources. Real-time internet data and pathogen genomic information were used in 44 7% and 0% of studies, respectively, and social science and behavioral data were typically absent 45 in modeling efforts. Deterministic models were favored over stochastic approaches. Forty 46 percent of studies made model data entirely available, 29% provided all relevant model code, 47 43% presented uncertainty in all predictions and 54% provided sufficient methodological detail 48 allowing complete reproducibility. Fifty-one percent of predictions were published after the 49 epidemic peak in the Americas. While the use of preprints improved the accessibility of ZIKV 50 predictions by a median 119 days sooner than journal publication dates, they were used in only 51 30% of studies. CONCLUSIONS: Many ZIKV predictions were published during the 2016-2017 52 pandemic. The accessibility, reproducibility, timeliness, and incorporation of uncertainty in 53 these published predictions varied and indicates that there is substantial room for 54 improvement. To enhance the utility of analytical tools for outbreak response, it is essential to 55 improve the sharing of model data, code, and preprints for future outbreaks, epidemics and 56 pandemics. 57 58 Author summary: Researchers published many studies which sought to predict and forecast 59 important features of Zika virus (ZIKV) infections and their spread during the 2016-2017 ZIKV 60 pandemic. We conducted a comprehensive review of such ZIKV prediction studies and 61 evaluated their aims, the data sources they used, which methods were used, how timely they 62 were published, and whether they provided sufficient information to be used or reproduced by 63 others. Of the 73 studies evaluated, we found that the accessibility, reproducibility, timeliness, 64 and incorporation of uncertainty in these published predictions varied and indicates that there 65 is substantial room for improvement. We identified that the release of study findings before 66 formal journal publication ('pre-prints') increased the timeliness of Zika prediction studies, but",2 A systematic review and evaluation of Zika virus forecasting and prediction research during a 3 public health emergency of international concern 4 5 Kobres P
" 1 2700 words. Current = 2638, including references and table/figure legends 2 5 Tables and Figures. Current = 3 3 40 references. Current = 24 4 5 for use under a CC0 license.",Aerosol and surface stability of HCoV-19 (SARS-CoV-2) compared to SARS-CoV-1 6
" A novel coronavirus (SARS-CoV-2) is the causative agent of an emergent severe respiratory disease 20 in humans that is threatening to result in a global health crisis. By using genomic, sequence, 21 structural and evolutionary analysis, we show that Alpha-and Beta-CoVs possess several novel families 22 of immunoglobulin (Ig) domain proteins, including ORF8 and ORF7a from SARS-related coronaviruses 23 and two protein groups from certain Alpha-CoVs. Among them, ORF8 is distinguished in being rapidly 24 evolving, possessing a unique insert and a hypervariable position among SARS-CoV-2 genomes in its 25 predicted ligand-binding groove. We also uncover many Ig proteins from several metazoan viruses 26 which are distinct in sequence and structure but share an architecture comparable to that of CoV Ig 27 domain proteins. Hence, we propose that deployment of Ig domain proteins is a widely-used strategy by 28 viruses, and SARS-CoV-2 ORF8 is a potential pathogenicity factor which evolves rapidly to counter the 29 immune response and facilitate the transmission between hosts. 30 31",Novel Immunoglobulin Domain Proteins Provide Insights into Evolution and Pathogenesis Mechanisms of SARS-Related Coronaviruses
" Effective countermeasures against the recent emergence and rapid expansion of the 2019-Novel Coronavirus (2019-nCoV) require the development of data and tools to understand and monitor viral spread and immune responses. However, little information about the targets of immune responses to 2019-nCoV is available. We used the Immune Epitope Database and Analysis Resource (IEDB) resource to catalog available data related to other coronaviruses, including SARS-CoV, which has high sequence similarity to 2019-nCoV, and is the best-characterized coronavirus in terms of epitope responses. We identified multiple specific regions in 2019-nCoV that have high homology to SARS virus. Parallel bionformatic predictions identified a priori potential B and T cell epitopes for 2019-nCoV. The independent identification of the same regions using two approaches reflects the high probability that these regions are targets for immune recognition of 2019-nCoV. We identified potential targets for immune responses to 2019-nCoV and provide essential information for understanding human immune responses to this virus and evaluation of diagnostic and vaccine candidates.",Title: Candidate targets for immune responses to 2019-Novel Coronavirus (nCoV): sequence homology-and bioinformatic-based predictions
" Single particle cryo-EM is a powerful method for studying proteins and other biological macromolecules. Many of these molecules comprise regions with varying structural properties including disorder, flexibility, and partial occupancy. These traits make computational 3D reconstruction from 2D images challenging. Detergent micelles and lipid nanodiscs, used to keep membrane proteins in solution, are common examples of locally disordered structures that can negatively affect existing iterative refinement algorithms which assume rigidity (or spatial uniformity). We introduce a cross-validation approach to derive non-uniform refinement, an algorithm that automatically regularizes 3D density maps during iterative refinement to account for spatial variability, yielding dramatically improved resolution and 3D map quality. We find that in common iterative refinement methods, regularization using spatially uniform filtering operations can simultaneously over-and under-regularize local regions of a 3D map. In contrast, non-uniform refinement removes noise in disordered regions while retaining signal useful for aligning particle images. Our results include state-of-the-art resolution 3D reconstructions of multiple membrane proteins with molecular weight as low as 90kDa. These results demonstrate that higher resolutions and improved 3D density map quality can be achieved even for small membrane proteins, an important use case for single particle cryo-EM, both in structural biology and drug discovery. Non-uniform refinement is implemented in the cryoSPARC software package and has already been used successfully in several notable structural studies.",Non-uniform refinement: Adaptive regularization improves single particle cryo-EM reconstruction
 Background The outbreak of COVID-2019 is becoming a global public health,Immunodepletion with Hypoxemia: A Potential High Risk Subtype of Coronavirus Disease 2019
" Zika virus (ZIKV) infection in humans has been associated with congenital malformations and other neurological disorders, such as Guillain-Barré syndrome. The mechanism(s) of ZIKV intrauterine transmission, the cell types involved, the most vulnerable period of pregnancy for severe outcomes from infection and other physiopathological aspects remain unknown. In this study, we analyzed placental samples obtained at the time of delivery from a group of twenty-four women diagnosed with ZIKV infection during the first, second or third trimesters of pregnancy. Villous immaturity was the main histological finding in the placental tissues, although placentas without alterations were also frequently observed. Significant enhancement of the number of syncytial sprouts was observed in the placentas of women infected during the third trimester, indicating the development of placental abnormalities after ZIKV infection. Hyperplasia of Hofbauer cells (HCs) was also observed in these thirdtrimester placental tissues, and remarkably, HCs were the only ZIKV-positive fetal cells found in the placentas studied that persisted until birth, as revealed by immunohistochemical (IHC) analysis. Thirty-three percent of women infected during pregnancy delivered infants with congenital abnormalities, although no pattern correlating the gestational stage at infection, the IHC positivity of HCs in placental tissues and the presence of congenital malformations at birth was observed. Placental tissue analysis enabled us to confirm maternal ZIKV infection in cases where serum from the acute infection phase was not available, which reinforces the importance of this technique in identifying possible causal factors of birth defects. The results we observed in the samples from naturally infected pregnant women may contribute to the understanding of some aspects of the pathophysiology of ZIKV.","ZIKA VIRUS INFECTION AT DIFFERENT PREGNANCY STAGES: ANATOMOPATHOLOGICAL FINDINGS, TARGET CELLS AND VIRAL PERSISTENCE IN PLACENTAL TISSUES Running title ZIKA VIRUS INFECTION IN HUMAN PLACENTAS List of authors"
" Persistent bacterial bronchitis is a leading cause of chronic wet cough in young children. This 20 study aimed to characterise the respiratory bacterial microbiota of healthy children and to 21 assess the impact of the changes associated with the development of persistent bacterial 22 bronchitis. 23 Blind, protected brushings were obtained from 20 healthy controls and 24 children with 24 persistent bacterial bronchitis, with an additional directed sample obtained from persistent 25 bacterial bronchitis patients. DNA was extracted, quantified using a 16S rRNA gene 26 quantitative PCR assay prior to microbial community analysis by 16S rRNA gene 27 sequencing. 28 No significant difference in bacterial diversity or community composition (R 2 = 0.01, P = 29 0.36) was observed between paired blind and non-blind brushes, showing that blind 30 brushings are a valid means of accessing the airway microbiota. This has important 31 implications for collecting lower respiratory samples from healthy children. 32 A significant decrease in bacterial diversity (P < 0.001) and change in community 33 composition (R 2 = 0.08, P = 0.004) was observed between controls and patients. Bacterial 34 communities within patients with PBB were dominated by Proteobacteria, and indicator 35 species analysis showed that Haemophilus and Neisseria were significantly associated with 36 the patient group. In 15 (52.9%) cases the dominant organism by sequencing was not 37 identified by standard routine clinical culture. 38 The bacteria present in the lungs of patients with persistent bacterial bronchitis were less 39 diverse in terms of richness and evenness. The results validate the clinical diagnosis, and 40 suggest that more attention to bacterial communities in children with chronic cough may lead 41 to more rapid recognition of this condition with earlier treatment and reduction in disease 42 burden. 43",Title: The impact of persistent bacterial bronchitis on the pulmonary microbiome of
 The 2013-2016 West Africa EBOV epidemic was the biggest EBOV outbreak to date. An analysis of virus-specific CD8+ T-cell immunity in 30 survivors showed that 26 of those individuals had a CD8+ response to at least one EBOV protein. The dominant response (25/26 subjects) was specific to the EBOV nucleocapsid protein (NP). It has been suggested that epitopes on the EBOV NP could form an important part of an effective T-cell vaccine for Ebola Zaire. We show that a 9-amino-acid peptide NP44-52 (YQVNNLEEI) located in a conserved region of EBOV NP provides protection against morbidity and mortality after mouse adapted EBOV challenge. A single vaccination in a C57BL/6,An Effective CTL Peptide Vaccine for Ebola Zaire Based on Survivors' CD8+ Targeting of a Particular Nucleocapsid Protein Epitope with Potential Implications for COVID-19 Vaccine Design
" In the analysis of genomic sequence data, so-called ""alignment free"" approaches are often 12 selected for their relative speed compared to alignment-based approaches, especially in the 13 application of distance comparisons and taxonomic classification 1,2,3,4 . These methods are 14 typically reliant on excising K-length substrings of the input sequence, called K-mers 5 . In 15 the context of machine learning, K-mer based feature vectors have been used in 16 applications ranging from amplicon sequencing classification to predictive modeling for 17 antimicrobial resistance genes 6,7,8 . This can be seen as an analogy of the ""bag-of-words"" 18 model successfully employed in natural language processing and computer vision for 19 document and image classification 9,10 . Feature extraction techniques from natural language 20 processing have previously been analogized to genomics data 11 ; however, the ""bag-of-21 words"" approach is brittle in the RNA virus space due to the high intersequence variance 22 and the exact matching requirement of K-mers. To reconcile the simplicity of ""bag-of-23 words"" methods with the complications presented by the intrinsic variance of RNA virus 24 space, a method to resolve the fragility of extracted K-mers in a way that faithfully reflects 25 an underlying biological phenomenon was devised. Our algorithm, Vorpal, allows the 26 construction of interpretable linear models with clustered, representative 'degenerate' K-27 mers as the input vector and, through regularization, sparse predictors of binary 28 phenotypes as the output. Here, we demonstrate the utility of Vorpal by identifying 29 nucleotide-level genomic motif predictors for binary phenotypes in three separate RNA 30 virus clades; human pathogen vs. non-human pathogen in Orthocoronavirinae, 31 hemorrhagic fever causing vs. non-hemorrhagic fever causing in Ebolavirus, and human-32 host vs. non-human host in Influenza A. The capacity of this approach for in silico 33 identification of hypotheses which can be validated by direct experimentation, as well as 34 identification of genomic targets for preemptive biosurveillance of emerging viruses, is 35 discussed. The code is available for download at https://github.com/mriglobal/vorpal. 36 37 Feature Extraction Algorithm Overview 38 In the quasispecies model, the virus organism is represented by the ""cloud"" of genotypes that can 39 be maintained by the virus within the allowable fitness parameters 12 . In the method proposed 40",Vorpal: A novel RNA virus feature- 1 extraction algorithm demonstrated 2 through interpretable genotype-to- 3 phenotype linear models 4 5
" Background: GenBank contains over 3 million viral sequences. The National Center for Biotechnology Information (NCBI) previously made available a tool for validating and annotating influenza virus sequences that is used to check submissions to GenBank. Before this project, there was no analogous tool in use for non-influenza viral sequence submissions. Results: We developed a system called VADR (Viral Annotation DefineR) that validates and annotates viral sequences in GenBank submissions. The annotation system is based on analysis of the input nucleotide sequence using models built from curated RefSeqs. Hidden Markov models are used to classify sequences by determining the RefSeq they are most similar to, and feature annotation from the RefSeq is mapped based on a nucleotide alignment of the full sequence to a covariance model. Predicted proteins encoded by the sequence are validated with nucleotide-to-protein alignments using BLAST. The system identifies 43 types of ""alerts"" that (unlike the previous BLAST-based system) provide deterministic and rigorous feedback to researchers who submit sequences with unexpected characteristics. VADR has been integrated into GenBank's submission processing pipeline allowing for viral submissions passing all tests to be accepted and annotated automatically, without the need for any human (GenBank indexer) intervention. Unlike the previous submission-checking system, VADR is freely available (https://github.com/nawrockie/vadr) for local installation and use. VADR has been used for Norovirus submissions since May 2018 and for Dengue virus submissions since January 2019. Other viruses with high numbers of submissions will be added incrementally. Conclusion: VADR improves the speed with which non-flu virus submissions to GenBank can be checked and improves the content and quality of the GenBank annotations. The availability and portability of the software allows researchers to run the GenBank checks prior to submitting their viral sequences, and thereby gain confidence that their submissions will be accepted immediately without the need to correspond with GenBank staff. Reciprocally, the adoption of VADR frees GenBank staff to spend more time on services other than checking routine viral sequence submissions.",VADR: validation and annotation of virus sequence submissions to GenBank
" Social experiences are an important predictor of disease susceptibility and survival in humans and other social mammals. Chronic social stress is thought to generate a proinflammatory state characterized by elevated antibacterial defenses and reduced investment in antiviral defense. Here, we manipulated long-term social status in female rhesus macaques to show that social subordination alters the gene expression response to ex vivo bacterial and viral challenge. As predicted by current models, bacterial lipopolysaccharide polarizes the immune response such that low status corresponds to higher expression of genes in NF-κBdependent pro-inflammatory pathways and lower expression of genes involved in the antiviral response and type I interferon (IFN) signaling. Counter to predictions, however, low status drives more exaggerated expression of both NF-κB and IFN-associated genes after cells are exposed to the viral mimic Gardiquimod. Status-driven gene expression patterns are not only linked to social status at the time of sampling, but also to social history (i.e., past social status), especially in unstimulated cells. However, for a subset of genes, we observed interaction effects in which females who fell in rank were more strongly affected by current social status than those who climbed the social hierarchy. Together, our results indicate that the effects of social status on immune cell gene expression depend on pathogen exposure, pathogen type, and social history -in support of social experience-mediated biological embedding in adulthood, even in the conventionally memory-less innate immune system.",Social history and exposure to pathogen signals modulate social status effects on gene regulation in rhesus macaques
" Word count (main text): 3489 : medRxiv preprint The public responded quickly to the outbreak, and reduced exposure to live animals, especially in Wuhan. With high public support in containment measures, better regulation of wet markets and healthy diets should be promoted.","Public Exposure to Live Animals, Behavioural Change, and Support in Containment Measures in response to COVID-19 Outbreak: a population-based cross sectional survey in China"
" The virus has caused much mortality and morbidity to humans, and still posed a serious threat to the global public health. The virome with the human-infection potential is far from complete. Novel viruses have been discovered at an unprecedented pace as the rapid development of viral metagenomics. However, there is still a lack of a method for rapidly identifying the virus with the human-infection potential. This study built several machine learning models for discriminating the human-infecting viruses from other viruses based on the frequency of k-mers in the viral genomic sequences. The k-nearest neighbor (KNN) model could predict the human-infecting virus with an accuracy of over 90%. Even for the KNN models built on the contigs as short as 1kb, they performed comparably to those built on the viral genomes, suggesting that the models could be used to identify the human-infecting virus from the viral metagenomic sequences. This work could help for discovery of novel human-infecting virus in metagenomics studies.",Identification of viruses with the potential to infect human
" Viruses evolve extremely quickly, so reliable methods for viral host prediction are necessary to safeguard biosecurity and biosafety alike. Novel human-infecting viruses are difficult to detect with standard bioinformatics workflows. Here, we predict whether a virus can infect humans directly from next-generation sequencing reads. We show that deep neural architectures significantly outperform both shallow machine learning and standard, homology-based algorithms, cutting the error rates in half and generalizing to taxonomic units distant from those presented during training. We propose a new approach for convolutional filter visualization to disentangle the information content of each nucleotide from its contribution to the final classification decision. Nucleotide-resolution maps of the learned associations between pathogen genomes and the infectious phenotype can be used to detect virulencerelated genes in novel agents, as we show here for the 2019-nCoV coronavirus, unknown before it caused a pneumonia outbreak in December 2019.",Interpretable detection of novel human viruses from genome sequencing data
" We developed a computational tool to assess the risks of novel coronavirus outbreaks outside of China. We estimate the dependence of the risk of a major outbreak in a country from imported cases on key parameters such as: (i) the evolution of the cumulative number of cases in mainland China outside the closed areas; (ii) the connectivity of the destination country with China, including baseline travel frequencies, the effect of travel restrictions, and the efficacy of entry screening at destination; and (iii) the efficacy of control measures in the destination country (expressed by the local reproduction number R loc ). We found that in countries with low connectivity to China but with relatively high R loc , the most beneficial control measure to reduce the risk of outbreaks is a further reduction in their importation number either by entry screening or travel restrictions. Countries with high connectivity but low R loc benefit the most from policies that further reduce R loc . Countries in the middle should consider a combination of such policies. Risk assessments were illustrated for selected groups of countries from America, Asia, and Europe. We investigated how their risks depend on those parameters, and how the risk is increasing in time as the number of cases in China is growing.",Risk Assessment of Novel Coronavirus COVID-19 Outbreaks Outside China
" 1 To explore potential intermediate host of a novel coronavirus is vital to rapidly control 2 continuous COVID-19 spread. We found genomic and evolutionary evidences of the 3 occurrence of 2019-nCoV-like coronavirus (named as Pangolin-CoV) from dead Malayan 4 Pangolins. Pangolin-CoV is 91.02% and 90.55% identical at the whole genome level to 5 2019-nCoV and BatCoV RaTG13, respectively. Pangolin-CoV is the lowest common 6 ancestor of 2019-nCoV and RaTG13. The S1 protein of Pangolin-CoV is much more 7 closely related to 2019-nCoV than RaTG13. Five key amino-acid residues involved in the 8 interaction with human ACE2 are completely consistent between Pangolin-CoV and 2019-9 nCoV but four amino-acid mutations occur in RaTG13. It indicates Pangolin-CoV has 10 similar pathogenic potential to 2019-nCoV, and would be helpful to trace the origin and 11 probable intermediate host of 2019-nCoV.",Pangolin homology associated with 2019-nCoV
" As a heritable sequence-specific adaptive immune system, CRISPR-Cas is a powerful force shaping strain diversity in host-virus systems. While the diversity of CRISPR alleles has been explored, the associated structure and dynamics of host-virus interactions has not. We develop theory on the role of CRISPR immunity in mediating the interplay between host-virus interaction structure and eco-evolutionary dynamics in a computational model and three natural systems. We show that the structures of networks describing who infects whom and who is protected from whom are modular and weighted-nested, respectively. The dynamic interplay between these networks influences transitions between dynamical regimes of virus diversification and host control,leading to eventual virus extinction. The three empirical systems exhibit weighted nestedness, a pattern our theory shows is indicative of viral control by hosts. Previously missing from studies of microbial host-pathogen systems, the protection network plays a key role in the coevolutionary dynamics. The structure of complex ecological communities is clearly non-random. It is generally argued that interaction structure affects the stability of communities to perturbations [1-3] and arises from coevolutionary dynamics between interacting partners [4] [5] [6] [7] , yet the structure-dynamics nexus remains a long-standing central question in community and network ecology. Host-parasite infection networks, in which interaction structure represents 'who infects whom', have been typically described as modular, nested, or both [8, 9] . Modularity concerns patterns of specificity, in which the network is partitioned into modules of hosts and parasites that interact densely with each other but sparsely with those outside the group. Nestedness concerns instead patterns of specialization, and describes a network structure in which specialist hosts are infected by subsets of parasites that in turn also infect the more generalist hosts [8, 9] . Common to all host-parasite network studies is a dominant focus on patterns of infection. Infection structure should critically depend however on the genetic basis of resistance of hosts to pathogens [10] . The emergence of network structure from immune selection has been shown in pathogens of humans such as Plasmodium falciparum [11, 12]. In particular, strain theory developed for pathogens with multilocus encoding of antigens posits that negative frequency dependent selection, mediated by competition for hosts through cross-immunity, can structure pathogen populations into clusters of strains with limited overlap of antigenic repertoires [11] [12] [13] [14] [15] . Parasites with 2 . CC-BY-NC-ND 4.0 International license is made available under a resistance by surface mutation can arise quickly to take over CRISPR or restriction-modification systems in providing immunity. This experimental and theoretical evidence for advantages of surface modification may entail strong fitness costs under natural conditions because mutations in surface receptors such as those in flagella or pili can be detrimental for microbial movement and biofilm formation [21] . Investigations of natural populations have indeed shown that surface resistance is costly in the wild [27, 28] . These observations underlie the need for complementing experimental approaches by developing theory on the kinds of 'macroscopic', whole system, diversity patterns expected under 'microscopic' CRISPR-induced coevolutionary processes. These patterns can serve as signatures in both nature and experiments for inferring whether specific underlying processes of resistance are at play. Resistance mechanisms can operate alone or in tandem to affect the diversification of microbes and phages. Nonetheless, not all of these are relevant for linking between host/phage genotypes and immune phenotype as observed in the structure of immunity and infection networks. Surface modification, for instance, is a result of mutation and selection that will provide advantage to one or few mutated strains periodically sweeping through the population. Restriction-modification systems, being unspecific to viral genetic sequence, also do not provide such link because they do not result in the creation of new strains. In contrast, CRISPR is a heritable adaptive immune system conferring sequence-specific protection against viruses, plasmids, and other mobile elements [23, 29] . As such, it not only provides a direct sequence-based link, but also allows consideration of concomitant structures for both infection and immunity, and from both host and parasite perspectives. The diversity of CRISPR alleles in natural, experimental and simulated populations has been explored [30] [31] [32] [33] [34] . It has been shown, for example, that increased strain diversity of Pseudomonas aeruginosa (with strains being clones with different spacer compositions) promotes the ability of the bacterium to control the DMS3vir virus [32] . Nevertheless, how such strain diversity evolves, the emergence of structure of host-virus interaction networks, and how they are assembled and disassembled remain unexplored. Advancing this predictive framework for CRISPR-Cas in microbial populations provides a basis for further study of the relative importance and interactions of different resistance mechanisms, and is essential for effective experimental manipulation of microbial systems, including applications to health and engineering [35, 36] . It can open new frontiers in studies of immune diversity and, more generally, contribute to tighten the connection between microbiology and evolutionary biology [37] .",The network structure and eco-evolutionary dynamics of CRISPR-induced immune diversification
" Enveloped viruses gain entry into host cells by fusing with cellular membranes, a step required for virus replication. Coronaviruses, including the severe acute respiratory syndrome coronavirus (SARS-CoV), Middle East respiratory syndrome coronavirus (MERS-CoV), and infectious bronchitis virus (IBV), fuse at the plasma membrane or use receptor-mediated endocytosis and fuse with endosomes depending on the cell or tissue type. The virus Spike (S) protein mediates fusion with the host cell membrane. We have shown previously that an Abl kinase inhibitor, imatinib, significantly reduces SARS-CoV and MERS-CoV viral titers and prevents endosomal entry by HIV SARS S and MERS S pseudotyped virions. SARS-CoV and MERS-CoV are classified as BSL-3 viruses, which can make experimentation into the cellular mechanisms involved in infection more challenging. Here, we use IBV, a BSL-2 virus, as a model for studying the role of Abl kinase activity during coronavirus infection. We found that imatinib and two specific Abl kinase inhibitors, GNF2 and GNF5, reduce IBV titers by blocking the first round of virus infection. Additionally, all three drugs prevented IBV S-induced syncytia formation prior to the hemifusion step. Our results indicate that membrane fusion (both virus-cell and cell-cell) is blocked in the presence of Abl kinase inhibitors. Studying the effects of Abl kinase inhibitors on IBV will be useful in identifying host cell pathways required for coronavirus infection. This will provide insight into possible therapeutic targets to treat infections by current as well as newly emerging coronaviruses.",Coronavirus S protein-induced fusion is blocked prior to hemifusion by Abl kinase inhibitors
" Compound heterozygotes occur when different mutations at the same locus on both maternal and paternal chromosomes produce a recessive trait. Here we present the tool VarCount for the quantification of mutations at the individual level. We used VarCount to characterize compound heterozygous coding variants in patients with epileptic encephalopathy and in the 1000 genomes participants. The Epi4k data contains variants identified by whole exome sequencing in patients with either Lennox-Gastaut Syndrome (LGS) or Infantile Spasms (IS), as well as their parents. We queried the Epi4k dataset (264 trios) and the phased 1000 genomes data (2504 participants) for recessive variants. To assess enrichment, transcript counts were compared between the Epi4k and 1000 genomes participants using minor allele frequency (MAF) cutoffs of 0.5% and 1.0%, and including all ancestries or only probands of European ancestry. In the Epi4k participants, we found enrichment for rare, compound heterozygous mutations in six genes, including three involved in neuronal growth and development -PRTG (p=0.00086, 1% MAF, combined ancestries), TNC (p=0.0221% MAF, combined ancestries), and MACF1 (p=0.0245, 0.5% MAF, EU ancestry). Due the total number of transcripts considered in these analyses, the enrichment detected was not significant after correction for multiple testing and higher powered or prospective studies are necessary to validate the candidacy of these genes. However, PRTG, TNC, and MACF1 are potential novel recessive epilepsy genes and our results highlight that compound heterozygous mutations should be considered in sporadic epilepsy.",In trans variant calling reveals enrichment for compound heterozygous variants in genes involved in neuronal development and growth
" The Eyring's rate process theory and free volume concept, two very popular theories in chemistry and physics fields, are employed to treat infectious disease transmissions. The susceptible individuals are assumed to move stochastically from one place to another. The virus particle transmission rate is assumed to obey the Eyring's rate process theory and also controlled by how much free volume available in a system. The transmission process is considered to be a sequential chemical reaction, and the concentrations or fractions of four epidemiological compartments, the susceptible, the exposed, the infected, and the removed, can be derived and calculated. The obtained equations show that the basic reproduction number, R 0 , is not a constant, dependent on the volume fraction of virus particles, virus particle size, and virus particle packing structure, the energy barrier associated with susceptible individuals, and environment temperature. The developed models are applied to treat coronavirus disease 2019 (Covid-19) transmission and make predictions on peak time, peak infected, and R 0 . Our work provides a simple and straightforward approach to estimate how infection diseases evolve and how many people may be infected.",
" Background: Radiologic characteristics of 2019 novel coronavirus (2019-nCoV) infected pneumonia (NCIP) which had not been fully understood are especially important for diagnosing and predicting prognosis. Purpose: To summarize the clinical and radiologic characteristics of NCIP cases and analyze the association of radiologic findings with mortality cases. We retrospective studied 27 consecutive patients who were confirmed NCIP, the clinical characteristics and CT image findings were collected, and the association of radiologic findings with mortality of patients was evaluated. Results: 27 patients included 12 men and 15 women, with median age of 60 years . 17 patients discharged in recovered condition and 10 patients died in hospital. The median age of mortality group was higher compared to survival group (68 (IQR 63-73) vs 55 (IQR 35-60), P = 0.003). The comorbidity rate in mortality group was significantly higher than in survival group (80% vs 29%, P = 0.018). The predominant CT characteristics consisted of ground glass opacity (67%), bilateral sides involved (86%), both peripheral and central distribution (74%), and lower zone involvement (96%). The median CT score of mortality group was higher compared to survival group (30 (IQR 7-13) vs 12 (IQR 11-43), P = 0.021), with more frequency of consolidation (40% vs 6%, P = 0.047) and air bronchogram (60% vs 12%, P = 0.025). An optimal cutoff value of a CT score of 24.5 had a sensitivity of 85.6% and a specificity of 84.5% for the prediction of mortality. Conclusions: 2019-nCoV was more likely to infect elderly people with chronic comorbidities. CT findings of NCIP were featured by predominant ground glass opacities mixed with consolidations, mainly peripheral or combined peripheral and central distributions, bilateral and lower lung zones being mostly involved. A simple CT scoring method was capable to predict mortality.","Association of radiologic findings with mortality of patients infected with 2019 novel coronavirus in Wuhan, China"
" An outbreak of COVID-19 developed aboard the Princess Cruises Ship during January-February 2020. Using mathematical modeling and time-series incidence data describing the trajectory of the outbreak among passengers and crew members, we characterize how the transmission potential varied over the course of the outbreak. Our estimate of the mean reproduction number in the confined setting reached values as high as ~11, which is higher than mean estimates reported from community-level transmission dynamics in China and Singapore (approximate range: 1.1-7). Our findings suggest that R t decreased substantially compared to values during the early phase after the Japanese government implemented an enhanced quarantine control. Most recent estimates of R t reached values largely below the epidemic threshold, indicating that a secondary outbreak of the novel coronavirus was unlikely to occur aboard the Diamond Princess Ship.","Transmission potential of the novel coronavirus (COVID-19) onboard the Diamond Princess Cruises Ship, 2020"
