Abstract,Date,Days,Downloads,Impact,Refrences,Search,Views,url
"  A total of 520 participants were recruited into the analysis; 61.5% were females, the average age was 45.2 years, 72.9% were married, and 88.4% were of Thai nationality. Regarding COVID-19, 73.4% had poor knowledge of disease prevention and control, 28.5% had poor attitudes toward disease prevention and control, and only 13.6% had strong preparedness skills to prevent and control the disease. Several factors were associated with poor knowledge, poor attitudes and poor preparedness skills in response to the epidemic of COVID-2019, such as education, occupation, income, and channel of receiving public health information.  ",2020-03-02,54.0,1365.0,25.27777777777778,10.0,"Knowledge, Attitude and Preparedness to Respond to the 2019 Novel Coronavirus (COVID-19) Among the Bordered Population of Northern Thailand in the Early Period of the Outbreak: A Cross-Sectional Study",460.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546046&utm_source=EC&utm_medium=Connect
" The clinical characteristics of COVID-19 patients at the onset became partially different as the novel coronavirus spreads over time and generations, positive infection even appeared in patients after discharge. Findings from this study suggest that initial symptoms of recently infected patients seem more insidious. All provide clues that the new coronavirus may gradually evolve into an influenza-like virus, or it may be latent in some asymptomatic carrier for a long time.  ",2020-03-02,54.0,5394.0,99.88888888888889,16.0,Caution: Clinical Characteristics of COVID-19 Patients Are Changing at Admission,665.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546044&utm_source=EC&utm_medium=Connect
" On the basis of this study, we generated the pyramid of COVID-19 infection, and found the pattern of infection had shifted from the imported to indigenous gradually, and then the daily new cases was declined quickly, this attributed to the government’s potent prevent and control, the epidemic is clearly under control in China. Preventing import from outside and controlling export on inside should being a basic principle for resisting COVID-19 infection, however, if out of control, the region or area will be chaos. ",2020-03-02,54.0,746.0,13.814814814814815,24.0,"Epidemiological and Clinical Characteristics of COVID-19 Infection Outside Wuhan, China: A Multicenter Study",128.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546040&utm_source=EC&utm_medium=Connect
" We identified in our study of 112 hospitalized patients that CD3+, CD4+ and CD8+ T lymphocyte counts were useful markers to predict the clinical progression of SARS-CoV-2 pneumonia at different stages. Considering the large number of patients with severe pneumonia, and the urgency of this ongoing global public health emergency, the counts of lymphocyte and its subsets from laboratory examinations could be easy and useful indicators for physicians to determine a timely and proper therapeutic strategy for patients and an early warning sign for predicting or reducing mortality in SARS-CoV-2-infected pneumonia.",2020-03-02,54.0,566.0,10.481481481481481,29.0,"Decreased Counts of T Lymphocyte Subsets Predict Prognosis in SARS-CoV-2-Infected Pneumonia in Wuhan, China: A Retrospective Study",115.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544850&utm_source=EC&utm_medium=Connect
" Compared with non-severe patients with COVID-19, severe patients commonly had neurologic symptoms manifested as acute cerebrovascular diseases, impaired consciousness and skeletal muscle injury. ",2020-03-02,54.0,8214.0,152.11111111111111,18.0,"Neurological Manifestations of Hospitalized Patients with COVID-19 in Wuhan, China: A Retrospective Case Series Study",2518.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544840&utm_source=EC&utm_medium=Connect
" Our findings provide the evidence that the CT imaging score can be used to reflect disease severity, and the multiple enzyme release, inflammation storm, and hypercoagulability are prominent indicators to monitor the changes of disease progression and prognosis of COVID-19, which are critical to explain the multiple organ injuries or death in clinic and also guide therapeutic strategy.",2020-03-02,54.0,1859.0,34.425925925925924,31.0,"Multiple Enzyme Release, Inflammation Storm and Hypercoagulability Are Prominent Indicators For Disease Progression In COVID-19: A Multi-Centered, Correlation Study with CT Imaging Score",490.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544837&utm_source=EC&utm_medium=Connect
" Low serum cholesterol level in the patients with COVID-19 in Wenzhou, China. Altered serum cholesterol provide important information, and is meaningful to understand the disease.",2020-03-02,54.0,26473.0,490.24074074074076,24.0,"Low Serum Cholesterol Level Among Patients with COVID-19 Infection in Wenzhou, China",3251.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544826&utm_source=EC&utm_medium=Connect
 Public health interventions implemented at both the social and personal levels are effective in preventing outbreaks of COVID-19 in Wuhan and other provinces. Model prediction results suggested that COVID-19 will be contained around the end of February 2020 in China.,2020-03-02,54.0,708.0,13.11111111111111,60.0,Trends in Transmissibility of 2019 Novel Coronavirus-Infected Pneumonia in Wuhan and 29 Provinces in China,82.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544821&utm_source=EC&utm_medium=Connect
" There is no clinical difference between female and male patients with early-stage NCP, and most patients were never-smoker. Suspected patients with the older age, longer time from onset to admission, presence of familial clusters, lower white blood cell count and increased AST at screening should raise concern on NCP. Timely identification and treatment are crucial in order to decrease incidence of severe and critical cases and fatality rate of the disease.",2020-03-02,54.0,456.0,8.444444444444445,30.0,Early-Stage Vigilance of Novel Coronavirus Pneumonia,59.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544820&utm_source=EC&utm_medium=Connect
" SARS-CoV-2 might mainly act on lymphocytes, especially T lymphocytes, and induce a cytokine storm in the body, generate a series of immune responses. Surveillance of NLR and lymphocyte subsets is helpful in the early screening of critical illness, diagnosis and treatment of COVID-19.",2020-03-02,54.0,5066.0,93.81481481481481,23.0,"Dysregulation of Immune Response in Patients with COVID-19 in Wuhan, China",1644.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3541136&utm_source=EC&utm_medium=Connect
" The median age of the 101 patients was 51.0 years (IQR, 37.0-61.0) and 34 patients [33.6%] were medical staffs. On admission, the number of patients with uncomplicated illness, mild, severe and critical pneumonia were 1 [1%], 86 [85%], 11[11%] and 2[2%], and another could not be unclassified because of pregnancy. 44 cases [51%] of the 86 mild pneumonia progressed to severe condition with 4 ( IQR, 1-7) days in median, and 9 patients [10%] further worsened to critical pneumonia within 4 (IQR, 3-8) days; 2 of the 11 severe patients improved to mild condition while 3 others deteriorated. Significant differences were observed among groups of different clinical stages in numbers of influenced pulmonary segments (6 (IQR, 2-12) vs 12 (IQR,6-15) vs 17 (IQR, 10-18), P &lt;0.001). A significantly upward trend was witnessed in ground-glass opacities overlapped with striped shadows (33% vs 42% vs 55% vs 80%, P &lt;0.001) while pure ground-glass opacities gradually decreased with regard to radiologic patterns. While lymphocytes, prealbumin and albumin showed a downward trend as disease progressed from mild to severe or critical condition, an increasing trend was found in white blood cells, C-reactive protein, neutrophils and lactate dehydrogenase. And the proportions of serum amyloid A &gt; 300 mg/L in mild, severe and critical conditions were 18%, 46% and 71%, respectively. ",2020-03-02,54.0,630.0,11.666666666666666,14.0,"Characteristics of Disease Progress in 101 Hospitalized Patients with Corona Virus Disease 2019 in Wuhan, China",108.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543620&utm_source=EC&utm_medium=Connect
" Ten different clusters were identified and ACE2 was mainly expressed in proximal tubule and glomerular parietal epithelial cells. From GO &amp; KEGG enrichment analysis, imbalance of ACE2 expression, renin-angiotensin system (RAS) activation, and neutrophil-related processes were the main issue of COVID-19 leading kidney injury.",2020-03-02,54.0,1208.0,22.37037037037037,29.0,Single Cell RNA Sequencing Analysis of Human Kidney Reveals the Presence of ACE2 Receptor: A Potential Pathway of COVID-19 Infection,357.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544810&utm_source=EC&utm_medium=Connect
" Fever (85.7%) and cough (80.9%) were the two main symptoms of NCP patients.More significantly higher incidence (85.7%) of shortness of breath in the severe cases. Multiple lesions in both lungs and with incidence of GGO(100%),vascular enlargement (76.5%) and cobblestone/reticular pattern(70.6%) were the major feature.The incidence of consolidation, mixed pattern and vascular enlargement features were up to 100% in the severe group, significantly higher than that of patients in mild group. In addition, the incidence of air-bronchogram, dilated bronchi with thickened wall and fibrosis in the severe group was significantly higher than that in the mild group. ",2020-02-28,57.0,542.0,9.508771929824562,24.0,Key Points of Clinical and CT Imaging Features of 2019 Novel Coronavirus (2019-nCoV) Imported Pneumonia Based on 21 Cases Analysis,80.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543610&utm_source=EC&utm_medium=Connect
" As regards to S-IgM, N-IgM, S-IgG and N-IgG, the detection positive rates in 49 patients were 38.8%, 51.0%,63.3% and 40.8% respectively. The median detection times for those antibodies were the 10th, 9th, 9th, or 9th days’ time point after the illness onset. The Kappa test results showed that the consistency of two IgM detection and two IgG detection are poor, the Kappa index are 0.408 and 0.344 respectively. 73.5%, 14.3% and 10.2% patients had high levels IL-6, IL-10 and INF-γ results. We also found that patients who lived in Wuhan or traveling to Wuhan in the short term had higher S-IgM (p=0.045) and N-IgM (p=0.002) concentrations than those who stayed in other cities. IL-6 concentrations had significant differences between severe patients and mild patients (p=0.0391). IL-10 concentration elevated in patients with background diseases compared with those no background diseases patients (p=0.0122). ",2020-02-28,57.0,832.0,14.596491228070175,17.0,Immunoglobulin G/M and Cytokines Detections in Continuous Sera from Patients with Novel Coronaviruses (2019-nCoV) Infection,208.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543609&utm_source=EC&utm_medium=Connect
" Multiple small patchy/strip shaped GGO in bilateral and subpleural lungs are the characteristic features of early stage CT of COVID-19 pneumonia, which combined with clinical and laboratory data can help rapid diagnosis and guide early clinical management for COVID-19 pneumonia patients.   ",2020-02-28,57.0,721.0,12.649122807017545,31.0,Coronavirus Disease 2019 (COVID-19) Pneumonia: Early Stage Chest CT Imaging Features and Clinical Relevance,149.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543606&utm_source=EC&utm_medium=Connect
" The median age of COVID-19 patients recruited for the study was 52.5 years (IQR 39.3-61). Fever (83.3%), cough (54.2%) and expectoration (25.0%) were the most common clinical manifestations. The detection rates of sputum (95.65%, 22/23) and saliva (88.09%, 37/42) were significantly higher than in throat swabs (41.54%, 27/65) and nasal swabs (72.31%, 47/65) ( P &lt;0.001). Further, the Ct Value from sputum, saliva and nasal swabs were significantly higher than in throat swabs, whereas no significant difference was observed between sputum and saliva samples. ",2020-02-28,57.0,1016.0,17.82456140350877,18.0,Saliva as a Diagnostic Specimen for SARS-CoV-2 by a PCR-Based Assay: A Diagnostic Validity Study,256.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543605&utm_source=EC&utm_medium=Connect
" The age of the susceptible population in Zhejiang province is consistent with that of whole China. The CT positive rate in Zhejiang province is higher than that in Wuhan. Compared with Wuhan, Zhejiang province has seen more asymptomatic infections, and fever and cough are more common in Zhejiang province. During the period of disease prevention and control, great attention should be paid to the cities with non-exporting cases.",2020-02-28,57.0,901.0,15.807017543859649,15.0,"Epidemiological and Clinical Characteristics of 944 Cases of 2019 Novel Coronavirus Infection of Non-COVID-19 Exporting City, Zhejiang, China",224.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543604&utm_source=EC&utm_medium=Connect
" The ACP index can predict COVID-19 related short-term mortality, which may be a useful and convenient tool for quickly establishing a COVID-19 hierarchical management system that can greatly reduce the medical burden and therefore mortality in highly endemic areas. ",2020-02-28,57.0,925.0,16.228070175438596,17.0,"ACP Risk Grade: A Simple Mortality Index for Patients with Confirmed or Suspected Severe Acute Respiratory Syndrome Coronavirus 2 Disease (COVID-19) During the Early Stage of Outbreak in Wuhan, China",163.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543603&utm_source=EC&utm_medium=Connect
" The asymptomatic carriers identified from close contacts were prone to be mildly ill during hospitalization. However, the communicable period could be up to three weeks and the communicated patients could develop severe illness. These results highlighted the importance of close contact tracing and longitudinally surveillance via virus nucleic acid tests. Further isolation recommendation and continuous nucleic acid tests may also be recommended to the patients discharged.   ",2020-02-28,57.0,897.0,15.736842105263158,16.0,"Clinical Characteristics of 24 Asymptomatic Infections with COVID-19 Screened Among Close Contacts in Nanjing, China",107.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543598&utm_source=EC&utm_medium=Connect
" The COVID-19 infection was a mass onset, with a strong concealment that is difficult to detect in the early stages, and early detection can reduce the harm of the disease. Due to traffic control and tight medical resources, the inability to treat in a timely manner will lead to worsening of the disease of elderly patients, and even fatal respiratory diseases.",2020-02-28,57.0,941.0,16.50877192982456,29.0,"Epidemiological and Clinical Characteristics of 124 Elderly Outpatients with COVID-19 in Wuhan, China",227.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543596&utm_source=EC&utm_medium=Connect
" The incubation period of COVID-19 is verified to be approximately 5-6 days. The first- and second-generation cases have been well controlled, and the daily number of third-generation cases is gradually decreasing. The epidemic reached a turning point in China except for Hubei on February 6. The control and prevention of cluster events may be the key to final victory.",2020-02-28,57.0,464.0,8.140350877192983,14.0,"Current Situation of the Corona Virus Disease Under Active Control and Prevention in China, Outside Hubei Province: A Real-World Epidemiological Analysis",93.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543594&utm_source=EC&utm_medium=Connect
" Although the epidemic of COVID-19 in China started to decelerate from mid-February, maintaining the current declines remains a challenge, especially when strict social distancing ends.   ",2020-02-28,57.0,889.0,15.596491228070175,10.0,Epidemiological Benchmarks of the COVID-19 Outbreak Control in China After Wuhan's Lockdown: A Modelling Study with an Empirical Approach,129.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543589&utm_source=EC&utm_medium=Connect
" It is reasonable to speculate that the outbreak would be braked soon with the very strong prevention measures taken all over China. Current estimation provided evidence for planned work resumption under stringent prevention and control in regions outside Hubei Province in China to further support the fight against the epidemic. Nevertheless, strict prevention and control measures should still be maintained, especially in the regions with high intensity of epidemic such as Hunan, Guangzhou, Zhejiang Province as well as densely-populated cities such as Shanghai and Beijing, considering the possibility of the second outbreak brought by the work resumption and population migration, especially from Hubei Province and high-intensity cities outside Hubei Province. ",2020-02-28,57.0,611.0,10.719298245614034,31.0,Phase- and Epidemic Regions- Adjusted Estimation of the Number of Coronavirus Disease 2019 Cases in China,71.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543585&utm_source=EC&utm_medium=Connect
" The present study describes common abnormalities in breath sounds and their distribution characteristics using electronic stethoscope, which to some extent provides insights into the pathophysiological and clinical process of the disease, suggesting that electronic auscultation can be readily applied at bedside in isolation wards to aid diagnosis and management of COVID-19 patients.",2020-02-28,57.0,1310.0,22.982456140350877,17.0,Characteristics of Pulmonary Auscultation in Patients   with 2019 Novel Coronavirus in China,268.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543593&utm_source=EC&utm_medium=Connect
" Conjunctiva may be a transmission way of COVID-19.And ocular conjunctival swabs in combination with PCR test could be a non-invasive,convenient and feasible diagnostic method for identifying the infection of COVID-19.Emphasis on the false-negative results is vital.",2020-02-28,57.0,673.0,11.807017543859649,15.0,"Conjunctival Polymerase Chain Reaction-Tests of 2019 Novel Coronavirus in Patients in Shenyang, China",88.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543592&utm_source=EC&utm_medium=Connect
" COVID-19 was of clustering onset, and can result in severe and even fatal respiratory diseases such as acute respiratory distress syndrome. Combination therapy may be effective. ",2020-02-28,57.0,987.0,17.31578947368421,25.0,Clinical Characteristics of 457 Cases with Coronavirus Disease 2019,216.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543581&utm_source=EC&utm_medium=Connect
" Our early warning and protective actions for prevention are undoubtedly the most critical step during this unpredictable storm. Well consciousness to prevent and control infection, timely and decisive adoption and adjustment of protective measures are the key to protection for our IBD patients. Our experience provides inspirative encouragements and suggestions in current COVID-19 worldwide spread and future pandemic diseases.",2020-02-27,58.0,1725.0,29.74137931034483,2.0,"Protection of 318 Inflammatory Bowel Disease Patients from the Outbreak and Rapid Spread of COVID-19 Infection in Wuhan, China",344.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543590&utm_source=EC&utm_medium=Connect
" No SARS-CoV-2 could be detected by RT-PCR in conjunctival swabs samples of COVID-19 pneumonia patients. Through our observational study, no ocular complications or sign of ocular transmissible routes were reported. ",2020-02-27,58.0,1082.0,18.655172413793103,21.0,"Ocular Dectection of SARS-CoV-2 in 114 Cases of COVID-19 Pneumonia in Wuhan, China: An Observational Study",224.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543587&utm_source=EC&utm_medium=Connect
" We employed four types of AI technology to screen all patients, achieve 18 indexes associated with significant COVID-19 diagnosis and the most important attribute is WBC, Eosinophil count, Eosinophil rate, 2019 novel coronavirus RNA (2019n-CoV) and Amyloid-A in laboratory, also matched with 2019 China virus diagnosis clinical guide. ",2020-02-27,58.0,1554.0,26.79310344827586,17.0,Artificial Intelligence Application in COVID-19 Diagnosis and Prediction,476.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3541119&utm_source=EC&utm_medium=Connect
" Our results suggest that Arbidol could accelerate and enhance the process of viral clearance, improve focal absorption on radiologic images, and reduce the demand for HFNC oxygen therapy in hospitalization. These effects were particularly pronounced in patients with mild illness at admission. The results provide basis for clinical use of Arbidol and supports for further randomized controlled trials in patients with NCP.",2020-02-25,60.0,1903.0,31.716666666666665,8.0,Clinical Efficacy of Arbidol in Patients with 2019 Novel Coronavirus-Infected Pneumonia: A Retrospective Cohort Study,350.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3542148&utm_source=EC&utm_medium=Connect
" Our study found more than one third of the medical staff suffered from insomnia symptoms during the COVID-19 outbreak. The related factors were including education level, isolation environment, social psychological worries about the COVID-19 outbreak, and occupation of doctor. Interventions of insomnia on medical staffs were needed considering different social psychological factors.",2020-02-25,60.0,1183.0,19.716666666666665,36.0,Survey of Insomnia and Related Social Psychological Factors Among Medical Staffs Involved with the 2019 Novel Coronavirus Disease Outbreak,329.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3542175&utm_source=EC&utm_medium=Connect
" In conclusion, properly running of hospital system may effectively manage the patients of 2019-nCoV pneumonia. ",2020-02-25,60.0,895.0,14.916666666666666,30.0,"2019-nCoV Pneumonia in a Normal Work Infectious Diseases Hospital Besides Hubei Province, China",109.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3542163&utm_source=EC&utm_medium=Connect
" Our findings confirmed 2019-nCoV could easily spread through direct personal contact in a hospital setting and provided compelling evidence that health-care facilities worldwide need to be prepared for possible transmission of this novel coronavirus. Medical workers engaging in daily interaction with their fellow workers should be personally under effective protection against the infection. The health-care workers developing any possible associated symptoms should seek prompt medical attention and be duly isolated, thereby minimizing secondary transmission of 2019-nCoV in health-care associated outbreaks. Adequate protection against exposure to infected patients can effectively protect health-care workers from 2019-nCoV infection. ",2020-02-25,60.0,568.0,9.466666666666667,16.0,Transmission of 2019-nCoV to Health-Care Workers in the Early Epidemic,86.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3542155&utm_source=EC&utm_medium=Connect
" The infection rate of 2019-nCoV in the outpatients from the fever clinics was high and the majority of COVID-19 were mild cases. The highest nucleic acid detection rate for 2019-nCoV infection was observed in patients with muscle ache, followed by dyspnea. The combination of fever, lower accounts of eosinophils and the imaging features of ground-glass opacity in bilateral lungs might be a valuable indicator for 2019-nCoV infection.  ",2020-02-25,60.0,685.0,11.416666666666666,23.0,"Analysis of 2019-nCoV Infection and Clinical Manifestations of Outpatients: An Epidemiological Study from the Fever Clinic in Wuhan, China",133.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3542153&utm_source=EC&utm_medium=Connect
" The nationwide and global outbreak of COVID-19 is now a fact. However, the drastic governmental measures have helped slowing down the epidemic propagation, which would have been more dramatic at this time point. A counterbalance between authorities’ leadership and the strict respect of prevention measures by local public may be needed to definitively stop the disease propagation.",2020-02-25,60.0,848.0,14.133333333333333,15.0,"The Ongoing Epidemic of 2019 Novel Coronavirus (SARS-CoV-2): Infection and Fatality Trends in Wuhan, Hubei and Across China",157.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3542152&utm_source=EC&utm_medium=Connect
" COVID-19 is a highly transmissible virus with a very high risk of epidemic outbreak once it emerges in metropolitan areas. The closure of Wuhan city was effective in reducing the severity of the epidemic, but even after closure of the city and the subsequent expansion of that closure to other parts of Hubei the virus remained extremely infectious. Emergency planners in other cities should consider this high infectiousness when considering responses to this virus.",2020-02-25,60.0,1207.0,20.116666666666667,21.0,Estimation of the Epidemic Properties of the 2019 Novel Coronavirus: A Mathematical Modeling Study,322.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3542150&utm_source=EC&utm_medium=Connect
" Acute renal impairment was uncommon in COVID-19. SARS-CoV-2 infection does not significantly cause obvious acute renal injury, or aggravate CRF in the COVID-19 patients.",2020-02-24,61.0,1221.0,20.016393442622952,21.0,"SARS-CoV-2 Infection Does Not Significantly Cause Acute Renal Injury: An Analysis of 116 Hospitalized Patients with COVID-19 in a Single Hospital, Wuhan, China",266.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3541116&utm_source=EC&utm_medium=Connect&utm_source=EC&utm_medium=Connect
 Peripheral lymphocyte subset alteration demonstrated a significant association with the clinical characteristics and efficacy of NCP. CD8+ T cells tended to be an independent predictor for NCP severity and treatment efficacy.,2020-02-24,61.0,857.0,14.049180327868852,18.0,Characteristics of Peripheral Lymphocyte Subset Alteration in 2019-nCoV Pneumonia,117.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539681&utm_source=EC&utm_medium=Connect
" Although the virus has demonstrated that it is highly contagious and causes infection in both lungs spontaneously, clinical evidence shows that Wuhan-viral pneumonia has a low fatality rate. CT Imaging plays a pivotal role in the screening, diagnosis, isolation plan, treatment, management or prognosis of patients with Wuhan-viral pneumonia.",2020-02-21,64.0,761.0,11.890625,11.0,Clinical and Imaging Evidence of Wuhan-Viral Pneumonia: A Large-Scale Prospective Cohort Study,125.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3537088&utm_source=EC&utm_medium=Connect
" The rapid and intensive measures taken by the Chinese government brought Wuhan epidemic under preliminary control. Some factories have resumed work since February 11, 2020, which exist the potential to cause the epidemic to increase again nationwide. In particular, because of the Spring Festival, more than 100 million migrant workers have to rework and 200 million school students at all levels might open the spring semesters. Consequently, its impact on the coronavirus epidemic block should be stressed. The publicity and supervision department should strengthen these two special groups’ epidemic learning and education, monitor their itinerary through a big data platform, and control their health and travel status in real time. It is recommended that migrant workers should not resume their work earlier than Feb. 27, 2020 and the school semester should also postpone to Apr. 1, 2020 at the earliest since large population density of students and their concentrated living and learning place.",2020-02-21,64.0,1529.0,23.890625,46.0,"Statistical Estimate of Epidemic Trend, Suggestions and Lessons for Public Safety from the 2019 Novel Coronavirus (COVID-19)",392.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539660&utm_source=EC&utm_medium=Connect
" The series of quarantine measures adopted by the Chinese government since January 23 were necessary and effective. Postponing the relaxation of isolation, early detection and isolation of patients, widely tracing of close contacts and strict monitoring of infected persons could effectively reduce the scale of infection and mortality.",2020-02-20,65.0,926.0,14.246153846153845,33.0,Epidemic Trend and Transmission Risk of SARS-CoV-2 after Government Intervention in the Mainland of China: A Mathematical Model Study,209.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539669&utm_source=EC&utm_medium=Connect
" The outbreak of COVID-19 is predominant in Hubei. The fatality is lower outside Hubei, a reflection of effective quarantine measures and medical care. The underestimated cases due to false-negative nucleic acid tests implies an actual lower fatality than the current estimation. The implication of broadened clinical diagnosis criteria in Hubei results in a sharp upswing in COVID-19 cases yet this could essentially counteract the underestimation of diagnosis and ensure prompt medical intervention to highly suspected cases. The interim gap in the knowledge of the actual dynamics of COVID-19 and heterogeneity of geographic differences need fulfilment by investigation on demographic characteristics and risk factors among population in various regions.",2020-02-20,65.0,2288.0,35.2,19.0,Dynamics of the Latest 2019 Novel Coronavirus Disease Epidemic in China: A Descriptive Study,252.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539671&utm_source=EC&utm_medium=Connect
" Around one-fifth of patients with COVID-19 will progress to severe diseases.Four simple clinical parameters at presentation, namely comorbidity, age, lymphocyte counts and serum ferritin were able to identify a group of patients with low risk of progression. This will greatly facilitate optimal utilization of the very tight medical resources in places with huge patient loads.",2020-02-20,65.0,3252.0,50.03076923076923,15.0,Clinical Characteristics Predicting Progression of COVID-19,822.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539674&utm_source=EC&utm_medium=Connect
" COVID-19 infection causes severe respiratory disease, similar to severe acute respiratory syndrome coronavirus, and is associated with ICU entry and high mortality. We have studied the origin, epidemiology, treatment methods and other aspects, according to the treatment plan formulated by Wuhan Union Hospital, certified by the Ministry of Health of China, we hope to develop an effective treatment method to reduce the mortality of the disease.",2020-02-20,65.0,1711.0,26.323076923076922,20.0,"Clinical Characteristics and Treatment of Patients Infected with COVID-19 in Shishou, China",348.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3541147&utm_source=EC&utm_medium=Connect
" On the basis of this study, we provided the ratio of the COVID-19 infection on the severe cases to the mild, asymptomatic and non-pneumonia cases in Beijing. Population was generally susceptible, and with a relatively low fatality rate. The measures to prevent transmission was very successful at early stage, the next steps on the COVID-19 infection should be focused on early isolation of patients and quarantine for close contacts in families and communities in Beijing. ",2020-02-20,65.0,830.0,12.76923076923077,17.0,Characteristics of COVID-19 Infection In Beijing,155.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3541134&utm_source=EC&utm_medium=Connect
 Medical staffs who had previous contact with NCP patients exhibited increased psychological problems and perceived social support. The governments should provide psychological services for medical staffs in the front line under the serious epidemic threat.,2020-02-20,65.0,915.0,14.076923076923077,18.0,Perceived Social Support and Its Impact on Psychological Status and Quality of Life of Medical Staffs After Outbreak of SARS-CoV-2 Pneumonia: A Cross-Sectional Study,229.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3541127&utm_source=EC&utm_medium=Connect
" High rate of Upro positive was detected in NCP patients, The degree of pulmonary lesion is positively related with level of Upro. Moreover, age, AST and lymphopenia were homodirectional impact factors with Upro. This study reminded us to pay more attention to the protective measures for lung, kidney and heart in the early stage of clinical treatment, and the mechanisms of how COVID-19 induced renal injury need to be future studied. ",2020-02-20,65.0,793.0,12.2,11.0,"Clinical Characteristics of 60 COVID-19-Infected Patients with or Without Renal Injury In Hangzhou, China",179.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3541126&utm_source=EC&utm_medium=Connect
"    The infection rate of 2019-nCoV in the outpatients from the fever clinics was high and the majority of COVID-19 were mild cases. The highest nucleic acid detection rate for 2019-nCoV infection was observed in patients with muscle ache, followed by dyspnea. The combination of fever, lower accounts of eosinophils and the imaging features of ground-glass opacity in bilateral lungs might be a valuable indicator for 2019-nCoV infection.",2020-02-20,65.0,1307.0,20.107692307692307,30.0,"Analysis of 2019 Novel Coronavirus Infection and Clinical Characteristics of Outpatients: An Epidemiological Study from the Fever Clinic in Wuhan, China",247.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539646%20&utm_source=EC&utm_medium=Connect
" 8 studies were included in Meta-analysis, including a total of 5732 patients with 2019-nCoV infection.According to Meta-analysis, among the clinical characteristics of patients with 2019-nCoV infection, the incidence of fever is 90.9%, the incidence of cough is 70.8%, and the incidence of muscle soreness or fatigue is 41%. The incidence of acute respiratory distress syndrome (ARDS) was 14.8%, the incidence of abnormal chest CT was 95.6%, the proportion of severe cases in all infected cases was 24.3%, and the mortality rate of patients with 2019-nCoV infection was 6.4%.    ",2020-02-20,65.0,8199.0,126.13846153846154,30.0,Clinical Characteristics of 5732 Patients with 2019-nCoV Infection,1495.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3539664&utm_source=EC&utm_medium=Connect
