Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
261,35.0,0.0503,"population, evidence, city, clinician, emerge, comorbiditie, provide, level, determine, vulnerable", Our model simulation showed that highly populated modern cities are particularly vulnerable and lessons learned in China could facilitate other countries to plan the proactive and decisive actions. We shall pay close attention to the asymptomatic transmission being suggested by rapidly accumulating evidence as dramatic changes in quarantine protocol are required to contain SARS-CoV-2 from spreading globally.
262,72.0,0.1423,"case, confirm, suspect, newly, correlate, moderate, estimation, clinically, lag, step"," The early response significantly decreased the newly-confirmed rate and the newly-confirmed number after 11 days of initiation. The conditional treatment effect estimation showed that provinces responded 1 day earlier could averagely reduce 2.2% newly-confirmed rate and 497.4 newly confirmed cases per 10,000 population per square kilometer. "
263,74.0,0.057,"age, develop, attention, people, pay, make, susceptible, highlight, strategy, worldwide"," In this study, we developed two predictive models for in-hospital mortality of COVID-19 patients in Wuhan. They can help to effectively predict the poor prognosis of COVID-19 patients at an early stage, and may provide practical decision-making suggestions on which patients should be paid close attention and given high-level treatments."
264,53.0,0.1867,"identify, relate, peak, major, contribute, potential, introduction, issue, political, measure"," A total of 422 citations were retained in this study, including journal articles, reviews, letters, and other publications. The mean number of authors and citations per document was 3.91 and 2.47, respectively. Also, the top ten articles, authors, and journals were identified based on the frequencies of citations and publications. Networks of contributing authors, institutions, and countries were visualized in maps, which highlight discrete developments in research collaborations. Major areas identified through evaluating keywords and text data included genetic, epidemiological, zoonotic, and other biological topics associated with COVID-19."
265,43.0,0.0824,"symptom, discharge, laboratory, initial, similar, examination, evaluate, avoid, recovery, recently"," The clinical characteristics of COVID-19 patients at the onset became partially different as the novel coronavirus spreads over time and generations, positive infection even appeared in patients after discharge. Findings from this study suggest that initial symptoms of recently infected patients seem more insidious. All provide clues that the new coronavirus may gradually evolve into an influenza-like virus, or it may be latent in some asymptomatic carrier for a long time.  "
266,0.0,0.0645,"model, predict, indicator, predictive, regression, accurately, sensitivity, cohort, score, base", The DL-based quantitative CT model has more efficiency in predicting the severity of COVID-19 than quantitative CT parameters and PSI score do.
267,28.0,0.0577,"infection, ncov, rate, fever, combination, account, valuable, line, muscle, dyspnea", Combination of RT-PCR and CT with the highest sensitivity is an optimal pattern to screen COVID-19. RT-PCR is superior to CT in diagnosing mild infections. Stool RT-PCR should be considered as an item for improving discovery rate and hospital discharge. This study shed light for optimizing scheme of screening and monitoring of SARS-CoV-2 infection.
268,3.0,0.1005,"positive, negative, swab, show, throat, median, sample, stool, specimen, tract", Cases exported outside Wuhan being less severe indicates possible diminishing virulence of the virus in the process of transmission. Yet persistent positive RNA in feces after negative throat swabs suggests a possible prolonged transmission period that challenges current quarantine practices. 
269,18.0,0.0684,"child, clinical, history, characteristic, exposure, epidemiological, adult, long, fecal, describe", Children are susceptible to infection by SARS-CoV-2. Our preliminary findings show that children develop a milder form of the disease with a less-aggressive clinical course than do adults.
270,18.0,0.0322,"child, clinical, history, characteristic, exposure, epidemiological, adult, long, fecal, describe",  Safety testing of COVID-19 S protein-based B cell vaccines in animal models is strongly encouraged prior to clinical trials to reduce risk of ADE upon virus exposure.
271,56.0,0.1111,"risk, factor, identify, independent, public, covid, target, demographic, excretion, protease"," The identified independent risk factors (elevated TnT, CRP, and D-dimer, and declined PaO2/FiO2) suggest that fatality due to COVID-19 was associated with multiple organ dysfunction. The independent risk factors found in this research can help identify the high-risk patients of COVID-19 with poor prognosis in order to offer early warning and intervention, and also help funnel the flow of patient with COVID-19."
272,5.0,0.1866,"treatment, viral, antiviral, rna, corticosteroid, drug, body, therapy, clearance, antibiotic"," The treatment approaches and responses to treatment were different in COVID-19 patients with different outcomes. Anti-viral drugs and antibiotics have been widely used in the treatment of patients with COVID-19. Corticosteroid therapy, γ-globulin and invasive ventilation were more frequently used in death group. The patients with lower lymphocyte counts were more likely to be given corticosteroids. After corticosteroid therapy, lymphocytes of survivors revived and a longer hospitalization was observed, which was more likely to be the severity of disease. However, for death patients, lymphocytes remained unchanged after corticosteroid treatment. The recovery of lymphocyte counts and temperature after corticosteroid treatment may be used as predictors of prognosis of patients with COVID-19."
273,48.0,0.0463,"function, severe, cytokine, monitoring, kidney, addition, protect, renal, storm, condition"," The COVID-19 had a low mortality rate in Jiangsu Province, China. In patients with severe COVID-19 pneumonia, early comprehensive care and oxygen support therapy are the key to success treatment. With non-invasive ventilation or high flow nasal cannula combined prone ventilation might additionally improve hypoxia and protect organ function."
274,36.0,0.0713,"china, epidemic, hubei, area, region, reach, quickly, delay, underestimate, mainland", The epidemic of COVID-19 has been primarily contained in China. The fight against this epidemic in China provided valuable experiences for the rest of the world. The strict measures need to be taken as earlier as possible to prevent its spreading.
275,21.0,0.0492,"diagnosis, important, highly, clinical, limit, routine, testing, guide, novel_coronavirus, criterion", The antibody detection offers vital clinical information during the course of SARS-CoV-2 infection. The findings provide strong empirical support for the routine application of serological testing in the diagnosis and management of COVID-19 patients.
276,27.0,0.0819,"death, hospitalization, elderly, main, icu, require, predictor, person, system, develop"," The main causes of death were acute respiratory injury and ARDS. Risk factors were ages and underlying diseases. The full spectrum of disease severity (range from asymptomatic, to symptomatic extents, requiring hospitalization or fatal), treatment and prevention require further investigations."
277,58.0,0.054,"infect, asymptomatic, patient, proportion, long, place, travel, zhejiang, investigation, allocate","  In the virus-infected patient cohort, a much higher fatality rate compared to ~3% among general infected public, suggests that surgery is a considerable risk factor, pointing to the necessity to postpone lung resection on patients during the epidemic."
278,7.0,0.2533,"follow, present, patient, baseline, progress, severity, lesion, diarrhea, differentiate, plasma"," GGO (48, 85.7%), vascular enlargement (44, 78.6%) were the most frequent signs in patients with COVID-19. 64.3% of the margins of the lesions were uneasily differentiated. No significant correlations were found in terms of leucocytes, neutrophils, lymphocytes, platelets and C-reactive protein. In contrast, the uneasily differentiated margin was negative correlated with the Ct value (r=-0.283, P=0.042). In another word, an uneasily differentiated margin indicated a lower Ct value (P=0.043). Patients with a lower Ct value were likely to present a progress follow-up change (P=0.022). The Ct value at baseline could predict a progress follow-up changes with an AUC of 0.685 (Cut-off value=29.48). All the 4 with normal CT findings presented new lesion(s) on follow-up CT scans.  "
279,50.0,0.2054,"poor, associate, prognosis, underlie, disease, age, level, impair, diabetes, abnormality","  A total of 520 participants were recruited into the analysis; 61.5% were females, the average age was 45.2 years, 72.9% were married, and 88.4% were of Thai nationality. Regarding COVID-19, 73.4% had poor knowledge of disease prevention and control, 28.5% had poor attitudes toward disease prevention and control, and only 13.6% had strong preparedness skills to prevent and control the disease. Several factors were associated with poor knowledge, poor attitudes and poor preparedness skills in response to the epidemic of COVID-2019, such as education, occupation, income, and channel of receiving public health information.  "
280,43.0,0.0967,"symptom, discharge, laboratory, initial, similar, examination, evaluate, avoid, recovery, recently"," The clinical characteristics of COVID-19 patients at the onset became partially different as the novel coronavirus spreads over time and generations, positive infection even appeared in patients after discharge. Findings from this study suggest that initial symptoms of recently infected patients seem more insidious. All provide clues that the new coronavirus may gradually evolve into an influenza-like virus, or it may be latent in some asymptomatic carrier for a long time.  "
281,36.0,0.0677,"china, epidemic, hubei, area, region, reach, quickly, delay, underestimate, mainland"," On the basis of this study, we generated the pyramid of COVID-19 infection, and found the pattern of infection had shifted from the imported to indigenous gradually, and then the daily new cases was declined quickly, this attributed to the government’s potent prevent and control, the epidemic is clearly under control in China. Preventing import from outside and controlling export on inside should being a basic principle for resisting COVID-19 infection, however, if out of control, the region or area will be chaos. "
282,15.0,0.0602,"lymphocyte, count, subset, low, neutrophil, lymphocyte_count, white, reactive_protein, ast, trend"," We identified in our study of 112 hospitalized patients that CD3+, CD4+ and CD8+ T lymphocyte counts were useful markers to predict the clinical progression of SARS-CoV-2 pneumonia at different stages. Considering the large number of patients with severe pneumonia, and the urgency of this ongoing global public health emergency, the counts of lymphocyte and its subsets from laboratory examinations could be easy and useful indicators for physicians to determine a timely and proper therapeutic strategy for patients and an early warning sign for predicting or reducing mortality in SARS-CoV-2-infected pneumonia."
283,31.0,0.0539,"severe, patient, significantly, year, male, age, positively, mild, detect, gold"," Compared with non-severe patients with COVID-19, severe patients commonly had neurologic symptoms manifested as acute cerebrovascular diseases, impaired consciousness and skeletal muscle injury. "
284,11.0,0.1248,"disease, find, monitor, multiple, important, approach, potential, additionally, isolation, specific"," Our findings provide the evidence that the CT imaging score can be used to reflect disease severity, and the multiple enzyme release, inflammation storm, and hypercoagulability are prominent indicators to monitor the changes of disease progression and prognosis of COVID-19, which are critical to explain the multiple organ injuries or death in clinic and also guide therapeutic strategy."
285,36.0,0.0547,"china, epidemic, hubei, area, region, reach, quickly, delay, underestimate, mainland"," Low serum cholesterol level in the patients with COVID-19 in Wenzhou, China. Altered serum cholesterol provide important information, and is meaningful to understand the disease."
286,49.0,0.0485,"intervention, measure, outbreak, strict, implement, current, individual, maintain, decline, beijing", Public health interventions implemented at both the social and personal levels are effective in preventing outbreaks of COVID-19 in Wuhan and other provinces. Model prediction results suggested that COVID-19 will be contained around the end of February 2020 in China.
287,32.0,0.0488,"patient, admission, abnormal, inflammation, proportion, coinfection, cellular, correction, concern, grass"," There is no clinical difference between female and male patients with early-stage NCP, and most patients were never-smoker. Suspected patients with the older age, longer time from onset to admission, presence of familial clusters, lower white blood cell count and increased AST at screening should raise concern on NCP. Timely identification and treatment are crucial in order to decrease incidence of severe and critical cases and fatality rate of the disease."
288,15.0,0.0883,"lymphocyte, count, subset, low, neutrophil, lymphocyte_count, white, reactive_protein, ast, trend"," SARS-CoV-2 might mainly act on lymphocytes, especially T lymphocytes, and induce a cytokine storm in the body, generate a series of immune responses. Surveillance of NLR and lymphocyte subsets is helpful in the early screening of critical illness, diagnosis and treatment of COVID-19."
289,19.0,0.1842,"critical, illness, mild, decrease, iqr, trend, condition, improve, cell, restrictive"," The median age of the 101 patients was 51.0 years (IQR, 37.0-61.0) and 34 patients [33.6%] were medical staffs. On admission, the number of patients with uncomplicated illness, mild, severe and critical pneumonia were 1 [1%], 86 [85%], 11[11%] and 2[2%], and another could not be unclassified because of pregnancy. 44 cases [51%] of the 86 mild pneumonia progressed to severe condition with 4 ( IQR, 1-7) days in median, and 9 patients [10%] further worsened to critical pneumonia within 4 (IQR, 3-8) days; 2 of the 11 severe patients improved to mild condition while 3 others deteriorated. Significant differences were observed among groups of different clinical stages in numbers of influenced pulmonary segments (6 (IQR, 2-12) vs 12 (IQR,6-15) vs 17 (IQR, 10-18), P &lt;0.001). A significantly upward trend was witnessed in ground-glass opacities overlapped with striped shadows (33% vs 42% vs 55% vs 80%, P &lt;0.001) while pure ground-glass opacities gradually decreased with regard to radiologic patterns. While lymphocytes, prealbumin and albumin showed a downward trend as disease progressed from mild to severe or critical condition, an increasing trend was found in white blood cells, C-reactive protein, neutrophils and lactate dehydrogenase. And the proportions of serum amyloid A &gt; 300 mg/L in mild, severe and critical conditions were 18%, 46% and 71%, respectively. "
290,53.0,0.0774,"identify, relate, peak, major, contribute, potential, introduction, issue, political, measure"," Ten different clusters were identified and ACE2 was mainly expressed in proximal tubule and glomerular parietal epithelial cells. From GO &amp; KEGG enrichment analysis, imbalance of ACE2 expression, renin-angiotensin system (RAS) activation, and neutrophil-related processes were the main issue of COVID-19 leading kidney injury."
291,14.0,0.0906,"feature, lung, ggo, image, opacity, consolidation, peripheral, pulmonary, pattern, ground_glass"," Fever (85.7%) and cough (80.9%) were the two main symptoms of NCP patients.More significantly higher incidence (85.7%) of shortness of breath in the severe cases. Multiple lesions in both lungs and with incidence of GGO(100%),vascular enlargement (76.5%) and cobblestone/reticular pattern(70.6%) were the major feature.The incidence of consolidation, mixed pattern and vascular enlargement features were up to 100% in the severe group, significantly higher than that of patients in mild group. In addition, the incidence of air-bronchogram, dilated bronchi with thickened wall and fibrosis in the severe group was significantly higher than that in the mild group. "
292,57.0,0.2047,"patient, detection, time, evaluation, city, short, finding, long, concentration, igg"," As regards to S-IgM, N-IgM, S-IgG and N-IgG, the detection positive rates in 49 patients were 38.8%, 51.0%,63.3% and 40.8% respectively. The median detection times for those antibodies were the 10th, 9th, 9th, or 9th days’ time point after the illness onset. The Kappa test results showed that the consistency of two IgM detection and two IgG detection are poor, the Kappa index are 0.408 and 0.344 respectively. 73.5%, 14.3% and 10.2% patients had high levels IL-6, IL-10 and INF-γ results. We also found that patients who lived in Wuhan or traveling to Wuhan in the short term had higher S-IgM (p=0.045) and N-IgM (p=0.002) concentrations than those who stayed in other cities. IL-6 concentrations had significant differences between severe patients and mild patients (p=0.0391). IL-10 concentration elevated in patients with background diseases compared with those no background diseases patients (p=0.0122). "
293,14.0,0.1009,"feature, lung, ggo, image, opacity, consolidation, peripheral, pulmonary, pattern, ground_glass"," Multiple small patchy/strip shaped GGO in bilateral and subpleural lungs are the characteristic features of early stage CT of COVID-19 pneumonia, which combined with clinical and laboratory data can help rapid diagnosis and guide early clinical management for COVID-19 pneumonia patients.   "
294,3.0,0.1536,"positive, negative, swab, show, throat, median, sample, stool, specimen, tract"," The median age of COVID-19 patients recruited for the study was 52.5 years (IQR 39.3-61). Fever (83.3%), cough (54.2%) and expectoration (25.0%) were the most common clinical manifestations. The detection rates of sputum (95.65%, 22/23) and saliva (88.09%, 37/42) were significantly higher than in throat swabs (41.54%, 27/65) and nasal swabs (72.31%, 47/65) ( P &lt;0.001). Further, the Ct Value from sputum, saliva and nasal swabs were significantly higher than in throat swabs, whereas no significant difference was observed between sputum and saliva samples. "
295,68.0,0.0813,"case, number, province, rate, confirm, february, hubei_province, increase, decrease, january"," The age of the susceptible population in Zhejiang province is consistent with that of whole China. The CT positive rate in Zhejiang province is higher than that in Wuhan. Compared with Wuhan, Zhejiang province has seen more asymptomatic infections, and fever and cough are more common in Zhejiang province. During the period of disease prevention and control, great attention should be paid to the cities with non-exporting cases."
296,17.0,0.0465,"mortality, reduce, early, series, woman, single, vulnerable, decrease, modify, pneumonia"," The ACP index can predict COVID-19 related short-term mortality, which may be a useful and convenient tool for quickly establishing a COVID-19 hierarchical management system that can greatly reduce the medical burden and therefore mortality in highly endemic areas. "
297,47.0,0.0784,"transmission, contact, isolation, effective, close_contact, virus, containment, trace, step, due"," The asymptomatic carriers identified from close contacts were prone to be mildly ill during hospitalization. However, the communicable period could be up to three weeks and the communicated patients could develop severe illness. These results highlighted the importance of close contact tracing and longitudinally surveillance via virus nucleic acid tests. Further isolation recommendation and continuous nucleic acid tests may also be recommended to the patients discharged.   "
298,6.0,0.0763,"disease, onset, chronic, ocular, control, syndrome, fatal, treat, clustering, common"," The COVID-19 infection was a mass onset, with a strong concealment that is difficult to detect in the early stages, and early detection can reduce the harm of the disease. Due to traffic control and tight medical resources, the inability to treat in a timely manner will lead to worsening of the disease of elderly patients, and even fatal respiratory diseases."
299,51.0,0.0844,"day, period, average, generation, onset, median, significantly, earlier, standard, stay"," The incubation period of COVID-19 is verified to be approximately 5-6 days. The first- and second-generation cases have been well controlled, and the daily number of third-generation cases is gradually decreasing. The epidemic reached a turning point in China except for Hubei on February 6. The control and prevention of cluster events may be the key to final victory."
300,49.0,0.0673,"intervention, measure, outbreak, strict, implement, current, individual, maintain, decline, beijing"," Although the epidemic of COVID-19 in China started to decelerate from mid-February, maintaining the current declines remains a challenge, especially when strict social distancing ends.   "
301,64.0,0.0939,"control, prevention, measure, strong, protective, bring, efficiently, introduce, infectiousness, key"," It is reasonable to speculate that the outbreak would be braked soon with the very strong prevention measures taken all over China. Current estimation provided evidence for planned work resumption under stringent prevention and control in regions outside Hubei Province in China to further support the fight against the epidemic. Nevertheless, strict prevention and control measures should still be maintained, especially in the regions with high intensity of epidemic such as Hunan, Guangzhou, Zhejiang Province as well as densely-populated cities such as Shanghai and Beijing, considering the possibility of the second outbreak brought by the work resumption and population migration, especially from Hubei Province and high-intensity cities outside Hubei Province. "
302,18.0,0.0542,"child, clinical, history, characteristic, exposure, epidemiological, adult, long, fecal, describe"," The present study describes common abnormalities in breath sounds and their distribution characteristics using electronic stethoscope, which to some extent provides insights into the pathophysiological and clinical process of the disease, suggesting that electronic auscultation can be readily applied at bedside in isolation wards to aid diagnosis and management of COVID-19 patients."
303,71.0,0.0381,"number, method, estimate, time, cfr, reduce, optimal, resource, study, government"," Conjunctiva may be a transmission way of COVID-19.And ocular conjunctival swabs in combination with PCR test could be a non-invasive,convenient and feasible diagnostic method for identifying the infection of COVID-19.Emphasis on the false-negative results is vital."
304,6.0,0.0838,"disease, onset, chronic, ocular, control, syndrome, fatal, treat, clustering, common"," COVID-19 was of clustering onset, and can result in severe and even fatal respiratory diseases such as acute respiratory distress syndrome. Combination therapy may be effective. "
305,64.0,0.0646,"control, prevention, measure, strong, protective, bring, efficiently, introduce, infectiousness, key"," Our early warning and protective actions for prevention are undoubtedly the most critical step during this unpredictable storm. Well consciousness to prevent and control infection, timely and decisive adoption and adjustment of protective measures are the key to protection for our IBD patients. Our experience provides inspirative encouragements and suggestions in current COVID-19 worldwide spread and future pandemic diseases."
306,34.0,0.0431,"pneumonia, complication, triage, intensive, society, conduct, esp, series, serum, parameter"," No SARS-CoV-2 could be detected by RT-PCR in conjunctival swabs samples of COVID-19 pneumonia patients. Through our observational study, no ocular complications or sign of ocular transmissible routes were reported. "
307,21.0,0.1181,"diagnosis, important, highly, clinical, limit, routine, testing, guide, novel_coronavirus, criterion"," We employed four types of AI technology to screen all patients, achieve 18 indexes associated with significant COVID-19 diagnosis and the most important attribute is WBC, Eosinophil count, Eosinophil rate, 2019 novel coronavirus RNA (2019n-CoV) and Amyloid-A in laboratory, also matched with 2019 China virus diagnosis clinical guide. "
308,61.0,0.0504,"effect, coronavirus, therapeutic, recovery, time, oxygen, reveal, relationship, attributable, dry"," Our results suggest that Arbidol could accelerate and enhance the process of viral clearance, improve focal absorption on radiologic images, and reduce the demand for HFNC oxygen therapy in hospitalization. These effects were particularly pronounced in patients with mild illness at admission. The results provide basis for clinical use of Arbidol and supports for further randomized controlled trials in patients with NCP."
309,70.0,0.083,"epidemic, social, psychological, government, distress, potentially, adverse, impact, slow, student"," Our study found more than one third of the medical staff suffered from insomnia symptoms during the COVID-19 outbreak. The related factors were including education level, isolation environment, social psychological worries about the COVID-19 outbreak, and occupation of doctor. Interventions of insomnia on medical staffs were needed considering different social psychological factors."
310,62.0,0.032,"provide, protection, effectively, hospital, personal, importance, experience, add, quality, key"," In conclusion, properly running of hospital system may effectively manage the patients of 2019-nCoV pneumonia. "
311,12.0,0.1488,"care, medical, resource, worker, prompt, home, provider, personnel, facility, expose"," Our findings confirmed 2019-nCoV could easily spread through direct personal contact in a hospital setting and provided compelling evidence that health-care facilities worldwide need to be prepared for possible transmission of this novel coronavirus. Medical workers engaging in daily interaction with their fellow workers should be personally under effective protection against the infection. The health-care workers developing any possible associated symptoms should seek prompt medical attention and be duly isolated, thereby minimizing secondary transmission of 2019-nCoV in health-care associated outbreaks. Adequate protection against exposure to infected patients can effectively protect health-care workers from 2019-nCoV infection. "
312,28.0,0.1907,"infection, ncov, rate, fever, combination, account, valuable, line, muscle, dyspnea"," The infection rate of 2019-nCoV in the outpatients from the fever clinics was high and the majority of COVID-19 were mild cases. The highest nucleic acid detection rate for 2019-nCoV infection was observed in patients with muscle ache, followed by dyspnea. The combination of fever, lower accounts of eosinophils and the imaging features of ground-glass opacity in bilateral lungs might be a valuable indicator for 2019-nCoV infection.  "
313,49.0,0.1039,"intervention, measure, outbreak, strict, implement, current, individual, maintain, decline, beijing"," The nationwide and global outbreak of COVID-19 is now a fact. However, the drastic governmental measures have helped slowing down the epidemic propagation, which would have been more dramatic at this time point. A counterbalance between authorities’ leadership and the strict respect of prevention measures by local public may be needed to definitively stop the disease propagation."
314,13.0,0.0732,"outbreak, emergency, improve, response, effective, infectious, capacity, manage, detect, highly"," COVID-19 is a highly transmissible virus with a very high risk of epidemic outbreak once it emerges in metropolitan areas. The closure of Wuhan city was effective in reducing the severity of the epidemic, but even after closure of the city and the subsequent expansion of that closure to other parts of Hubei the virus remained extremely infectious. Emergency planners in other cities should consider this high infectiousness when considering responses to this virus."
315,24.0,0.0417,"respiratory, severe, incidence, acute, failure, meta, strengthen, case, shorten, professional"," Acute renal impairment was uncommon in COVID-19. SARS-CoV-2 infection does not significantly cause obvious acute renal injury, or aggravate CRF in the COVID-19 patients."
316,8.0,0.0628,"low, score, significant, intubation, plan, efficacy, adjust, loneliness, treatment, interval", Peripheral lymphocyte subset alteration demonstrated a significant association with the clinical characteristics and efficacy of NCP. CD8+ T cells tended to be an independent predictor for NCP severity and treatment efficacy.
317,5.0,0.0541,"treatment, viral, antiviral, rna, corticosteroid, drug, body, therapy, clearance, antibiotic"," Although the virus has demonstrated that it is highly contagious and causes infection in both lungs spontaneously, clinical evidence shows that Wuhan-viral pneumonia has a low fatality rate. CT Imaging plays a pivotal role in the screening, diagnosis, isolation plan, treatment, management or prognosis of patients with Wuhan-viral pneumonia."
318,70.0,0.121,"epidemic, social, psychological, government, distress, potentially, adverse, impact, slow, student"," The rapid and intensive measures taken by the Chinese government brought Wuhan epidemic under preliminary control. Some factories have resumed work since February 11, 2020, which exist the potential to cause the epidemic to increase again nationwide. In particular, because of the Spring Festival, more than 100 million migrant workers have to rework and 200 million school students at all levels might open the spring semesters. Consequently, its impact on the coronavirus epidemic block should be stressed. The publicity and supervision department should strengthen these two special groups’ epidemic learning and education, monitor their itinerary through a big data platform, and control their health and travel status in real time. It is recommended that migrant workers should not resume their work earlier than Feb. 27, 2020 and the school semester should also postpone to Apr. 1, 2020 at the earliest since large population density of students and their concentrated living and learning place."
319,47.0,0.0866,"transmission, contact, isolation, effective, close_contact, virus, containment, trace, step, due"," The series of quarantine measures adopted by the Chinese government since January 23 were necessary and effective. Postponing the relaxation of isolation, early detection and isolation of patients, widely tracing of close contacts and strict monitoring of infected persons could effectively reduce the scale of infection and mortality."
320,36.0,0.0589,"china, epidemic, hubei, area, region, reach, quickly, delay, underestimate, mainland"," The outbreak of COVID-19 is predominant in Hubei. The fatality is lower outside Hubei, a reflection of effective quarantine measures and medical care. The underestimated cases due to false-negative nucleic acid tests implies an actual lower fatality than the current estimation. The implication of broadened clinical diagnosis criteria in Hubei results in a sharp upswing in COVID-19 cases yet this could essentially counteract the underestimation of diagnosis and ensure prompt medical intervention to highly suspected cases. The interim gap in the knowledge of the actual dynamics of COVID-19 and heterogeneity of geographic differences need fulfilment by investigation on demographic characteristics and risk factors among population in various regions."
321,55.0,0.0412,"covid, low, recommend, admission, manifest, strongly, addition, inhibitor, research, nursing"," Around one-fifth of patients with COVID-19 will progress to severe diseases.Four simple clinical parameters at presentation, namely comorbidity, age, lymphocyte counts and serum ferritin were able to identify a group of patients with low risk of progression. This will greatly facilitate optimal utilization of the very tight medical resources in places with huge patient loads."
322,24.0,0.0691,"respiratory, severe, incidence, acute, failure, meta, strengthen, case, shorten, professional"," COVID-19 infection causes severe respiratory disease, similar to severe acute respiratory syndrome coronavirus, and is associated with ICU entry and high mortality. We have studied the origin, epidemiology, treatment methods and other aspects, according to the treatment plan formulated by Wuhan Union Hospital, certified by the Ministry of Health of China, we hope to develop an effective treatment method to reduce the mortality of the disease."
323,47.0,0.0614,"transmission, contact, isolation, effective, close_contact, virus, containment, trace, step, due"," On the basis of this study, we provided the ratio of the COVID-19 infection on the severe cases to the mild, asymptomatic and non-pneumonia cases in Beijing. Population was generally susceptible, and with a relatively low fatality rate. The measures to prevent transmission was very successful at early stage, the next steps on the COVID-19 infection should be focused on early isolation of patients and quarantine for close contacts in families and communities in Beijing. "
324,70.0,0.1127,"epidemic, social, psychological, government, distress, potentially, adverse, impact, slow, student", Medical staffs who had previous contact with NCP patients exhibited increased psychological problems and perceived social support. The governments should provide psychological services for medical staffs in the front line under the serious epidemic threat.
325,48.0,0.0741,"function, severe, cytokine, monitoring, kidney, addition, protect, renal, storm, condition"," High rate of Upro positive was detected in NCP patients, The degree of pulmonary lesion is positively related with level of Upro. Moreover, age, AST and lymphopenia were homodirectional impact factors with Upro. This study reminded us to pay more attention to the protective measures for lung, kidney and heart in the early stage of clinical treatment, and the mechanisms of how COVID-19 induced renal injury need to be future studied. "
326,28.0,0.1919,"infection, ncov, rate, fever, combination, account, valuable, line, muscle, dyspnea","    The infection rate of 2019-nCoV in the outpatients from the fever clinics was high and the majority of COVID-19 were mild cases. The highest nucleic acid detection rate for 2019-nCoV infection was observed in patients with muscle ache, followed by dyspnea. The combination of fever, lower accounts of eosinophils and the imaging features of ground-glass opacity in bilateral lungs might be a valuable indicator for 2019-nCoV infection."
327,24.0,0.1321,"respiratory, severe, incidence, acute, failure, meta, strengthen, case, shorten, professional"," 8 studies were included in Meta-analysis, including a total of 5732 patients with 2019-nCoV infection.According to Meta-analysis, among the clinical characteristics of patients with 2019-nCoV infection, the incidence of fever is 90.9%, the incidence of cough is 70.8%, and the incidence of muscle soreness or fatigue is 41%. The incidence of acute respiratory distress syndrome (ARDS) was 14.8%, the incidence of abnormal chest CT was 95.6%, the proportion of severe cases in all infected cases was 24.3%, and the mortality rate of patients with 2019-nCoV infection was 6.4%.    "
328,51.0,0.2902,"day, period, average, generation, onset, median, significantly, earlier, standard, stay"," A total of 71 chains of transmission together with dates of symptoms onset and 67 dates of infections were identified among 5,405 confirmed cases outside Hubei as reported by February 2, 2020. Based on this information, we find the serial interval having an average of 4.27 days with a standard deviation of 3.44 days, the incubation period having an average of 5.33 days with a standard deviation of 3.36 days and the infectious period having an average of 10.91 days with a standard deviation of 3.95 days. The estimated controlled reproduction numbers, 𝑅𝑐 , produced by all three methods in all analyzed regions of China are significantly smaller compared with the basic reproduction numbers 𝑅0. "
329,27.0,0.0719,"death, hospitalization, elderly, main, icu, require, predictor, person, system, develop"," In our investigation, it was obviously that the COVID-19 can spread through person to person. The main manifestations of the patients were mainly upper respiratory symptoms, and some of the patients were accompanied by symptoms of the digestive system. There was no significant age limit for the infectivity of the population, but elderly people were still vulnerable groups. Patients with diabetes were more likely to develop into severe patients, and the probability of admission to the ICU was significantly increased."
330,32.0,0.0434,"patient, admission, abnormal, inflammation, proportion, coinfection, cellular, correction, concern, grass"," Old age, medical comorbidities, dyspnea, confusion, and chest pain at admission are associated with a higher risk of death in patients with COVID-19."
331,12.0,0.0505,"care, medical, resource, worker, prompt, home, provider, personnel, facility, expose"," We can infer that we are still not close to the end of this outbreak and the number of critically ill patients is still climbing. Assisting critical care resources in Hubei province requires the government to consider further tilt, and it is vital to make reasonable management of doctors and medical assistance systems to curb the transmission trend."
332,14.0,0.0642,"feature, lung, ggo, image, opacity, consolidation, peripheral, pulmonary, pattern, ground_glass","    Patients with the SARS-CoV-2 pneumonia usually presented with typical ground-grass opacities and other CT features, which showed significant correlations with some clinical and laboratory measurements. Follow-up CT images often demonstrated progressions during the early stage from illness onset.    "
333,28.0,0.0563,"infection, ncov, rate, fever, combination, account, valuable, line, muscle, dyspnea"," Patients with recent gastrointestinal symptoms as well as confirmed or suspected 2019-nCoV pneumonia exposure history are potential 2019-nCoV pneumonia candidates. It is significant to take atypical symptoms into account to avoid missed diagnosis, and important for gastroenterologists to strengthen protection to avoid possible infection."
334,25.0,0.0829,"pandemic, community, health, term, policy, system, strategy, economic, ongoing, area"," The 2019-nCoV may have a higher pandemic risk than SARS broken out in 2003. The implemented public-health efforts have significantly decreased the pandemic risk of 2019-nCoV. However, more rigorous control and prevention strategies and measures to contain its further spread.  "
335,64.0,0.0647,"control, prevention, measure, strong, protective, bring, efficiently, introduce, infectiousness, key"," The epidemic is in the stage of mass morbidity and rigorous screening for probable cases. Although the number of the cases have still increased in China, a series of prevention and control measures have been taken throughout China."
336,40.0,0.0547,"infection, virus, group, covid, high, flu, influenza, respiratory, upper, diagnose"," 2019-nCoV may be a virus of a high infectivity. The all-out efforts from Chinese government to prevent and control the infection are effective so far, but rigorous measures should be maintained to prevent further spread of the virus."
